Power Usage Effectiveness (PUE),Energy Consumption (kWh),Renewable Energy Usage (%),Cooling Efficiency,Total Power Consumption (kW),Server Power Consumption (kW),Dynamic Power Usage (kW),CPU Utilization (%),Task Completion Time (ms),SLA Violations,Workload Type,Number of Active VMs,Energy Strategy,Energy Savings (%)
1.4,"20,000",90,1.8,"1,800",190,110,90,96,4,I/O heavy,219,Renewable-first,30
1.8,"21,000",100,1.1,"2,300",200,90,50,97,3,I/O heavy,415,Non-renewable,10
1.6,"19,000",70,1.5,"1,000",120,80,50,110,5,Compute-heavy,298,Non-renewable,50
1.6,"17,000",70,1.5,"2,900",20,110,50,129,3,I/O heavy,281,Hybrid,50
1.3,"37,000",10,1.2,"1,800",100,90,90,122,5,Compute-heavy,115,Hybrid,0
1.3,"9,000",30,1.3,"3,000",120,80,10,60,5,Mixed,278,Hybrid,70
1.2,"31,000",10,1.8,"1,600",130,80,0,198,5,I/O heavy,150,Hybrid,50
1.7,"5,000",70,1.5,"2,800",110,140,90,106,4,Mixed,500,Non-renewable,70
1.6,"48,000",60,1.6,"2,600",100,50,10,150,4,Compute-heavy,304,Non-renewable,40
1.6,"34,000",60,1.6,"1,800",130,140,70,94,5,Mixed,148,Hybrid,20
1.2,"27,000",90,1.5,"1,400",190,90,30,126,0,Mixed,281,Renewable-first,0
1.8,"19,000",20,1.0,"2,500",190,150,60,166,5,I/O heavy,273,Renewable-first,60
1.7,"40,000",100,1.5,"2,000",100,50,0,167,5,I/O heavy,54,Hybrid,50
1.3,"23,000",40,1.3,"1,900",80,70,30,126,1,Compute-heavy,264,Renewable-first,70
1.3,"34,000",0,1.4,800,60,140,40,166,1,Mixed,171,Renewable-first,70
1.3,"20,000",90,1.7,"1,200",60,150,60,118,0,Compute-heavy,117,Renewable-first,10
1.4,"22,000",100,1.8,"1,000",130,130,60,122,5,Compute-heavy,251,Renewable-first,40
1.5,"30,000",30,1.6,"1,500",80,90,40,170,4,Compute-heavy,86,Non-renewable,80
1.5,"21,000",30,1.2,"1,200",150,120,50,47,4,Mixed,59,Hybrid,70
1.4,"15,000",0,1.3,"1,600",100,150,20,138,0,Compute-heavy,128,Renewable-first,0
1.6,"49,000",60,1.1,"2,000",20,110,20,50,5,Mixed,296,Renewable-first,10
1.3,"33,000",40,1.5,"2,900",40,90,30,122,4,Compute-heavy,51,Hybrid,20
1.4,"13,000",0,1.7,800,120,140,40,63,0,I/O heavy,120,Renewable-first,20
1.4,"21,000",40,1.6,"1,400",160,90,80,132,0,I/O heavy,326,Non-renewable,70
1.5,"31,000",70,1.4,600,190,60,70,128,4,Compute-heavy,90,Non-renewable,20
1.7,"41,000",90,1.8,"2,700",90,100,100,160,5,Compute-heavy,401,Renewable-first,80
1.3,"26,000",70,1.7,"2,000",20,90,0,90,3,Mixed,104,Renewable-first,30
1.5,"12,000",10,1.3,"2,800",140,70,70,79,2,Compute-heavy,417,Non-renewable,30
1.6,"7,000",0,1.4,800,160,130,60,71,0,Compute-heavy,299,Hybrid,80
1.2,"42,000",10,1.2,"2,200",80,100,50,38,1,Mixed,292,Renewable-first,20
1.6,"39,000",50,1.0,"1,700",40,110,100,26,2,Compute-heavy,238,Hybrid,30
1.3,"36,000",40,1.4,"2,900",190,110,50,163,3,Compute-heavy,138,Hybrid,30
1.2,"12,000",30,1.6,"2,300",50,120,50,159,4,Compute-heavy,184,Renewable-first,60
1.8,"48,000",70,1.5,"1,700",90,90,10,41,2,I/O heavy,386,Non-renewable,10
1.8,"31,000",40,1.7,"2,300",60,80,100,123,0,I/O heavy,464,Renewable-first,20
1.7,"36,000",30,1.5,"1,300",140,70,50,190,0,Mixed,111,Hybrid,50
1.4,"40,000",100,1.1,"2,800",100,140,80,159,1,Mixed,322,Hybrid,10
1.3,"38,000",70,1.2,800,100,150,70,33,4,I/O heavy,152,Renewable-first,80
1.6,"29,000",0,1.1,"3,000",120,100,60,48,2,I/O heavy,446,Renewable-first,50
1.5,"35,000",80,1.6,800,200,70,30,196,5,I/O heavy,403,Non-renewable,50
1.3,"46,000",10,1.8,500,190,90,80,110,4,Compute-heavy,51,Non-renewable,70
1.5,"17,000",70,1.2,500,50,60,60,172,1,Compute-heavy,258,Renewable-first,20
1.2,"19,000",80,1.6,"1,900",200,130,90,99,1,Mixed,152,Hybrid,80
1.7,"17,000",90,1.3,"1,600",150,110,10,99,1,I/O heavy,487,Renewable-first,60
1.4,"37,000",70,1.3,"1,500",50,110,20,93,0,Compute-heavy,54,Non-renewable,30
1.6,"35,000",80,1.8,"1,300",180,60,80,72,2,I/O heavy,61,Renewable-first,10
1.4,"29,000",30,1.3,"1,700",50,110,80,179,5,Mixed,357,Hybrid,0
1.5,"44,000",100,1.5,"2,100",110,80,0,32,0,Compute-heavy,348,Non-renewable,60
1.5,"27,000",10,1.6,"2,200",130,100,90,62,4,Mixed,240,Non-renewable,50
1.3,"42,000",20,1.6,"2,700",30,140,0,35,5,Compute-heavy,296,Hybrid,70
1.8,"7,000",70,1.7,"1,700",150,80,20,42,2,Compute-heavy,328,Hybrid,50
1.7,"20,000",40,1.5,600,80,80,80,73,2,Compute-heavy,449,Renewable-first,30
1.8,"6,000",100,1.5,800,60,100,10,83,4,Compute-heavy,99,Renewable-first,20
1.7,"27,000",30,1.6,"1,400",40,50,80,42,0,I/O heavy,311,Hybrid,10
1.6,"38,000",20,1.1,"2,200",20,110,60,140,2,Compute-heavy,240,Renewable-first,50
1.8,"34,000",100,1.2,"1,800",50,140,60,53,4,Compute-heavy,353,Non-renewable,70
1.3,"14,000",20,1.6,"2,000",80,50,20,101,0,Mixed,483,Renewable-first,0
1.3,"5,000",90,1.1,"2,300",60,50,100,190,2,Compute-heavy,400,Non-renewable,20
1.2,"26,000",90,1.6,"2,600",160,150,60,195,4,I/O heavy,127,Hybrid,0
1.4,"37,000",60,1.0,"2,700",140,140,60,118,3,Mixed,106,Renewable-first,70
1.4,"29,000",100,1.3,600,140,70,70,181,0,Compute-heavy,111,Hybrid,40
1.4,"26,000",70,1.5,"1,300",80,80,0,46,1,Compute-heavy,462,Renewable-first,10
1.7,"20,000",40,1.6,600,30,70,60,150,4,Mixed,491,Renewable-first,0
1.4,"34,000",70,1.5,"2,400",90,110,30,81,4,Mixed,292,Non-renewable,10
1.4,"22,000",80,1.4,"2,500",50,60,100,149,2,Compute-heavy,211,Non-renewable,20
1.5,"28,000",30,1.2,"1,200",20,130,90,121,0,I/O heavy,271,Non-renewable,80
1.3,"9,000",10,1.5,"2,400",170,90,90,127,5,Compute-heavy,239,Non-renewable,20
1.7,"41,000",40,1.1,"2,100",70,60,60,47,0,Compute-heavy,150,Hybrid,60
1.2,"27,000",10,1.0,"1,600",90,120,100,194,1,Compute-heavy,181,Renewable-first,40
1.8,"46,000",90,1.0,"1,100",170,130,100,107,5,Compute-heavy,329,Renewable-first,80
1.7,"31,000",10,1.2,"1,300",90,90,60,102,5,Mixed,411,Renewable-first,40
1.3,"16,000",50,1.0,"1,700",160,100,20,144,2,Compute-heavy,115,Renewable-first,60
1.2,"14,000",90,1.2,"2,000",130,50,100,56,1,Mixed,159,Non-renewable,70
1.7,"38,000",100,1.2,"2,500",70,140,60,53,3,Compute-heavy,407,Non-renewable,20
1.6,"37,000",90,1.3,"1,900",60,140,90,165,3,I/O heavy,204,Renewable-first,50
1.6,"20,000",0,1.6,600,170,60,40,95,4,Mixed,175,Hybrid,30
1.7,"33,000",10,1.4,"1,900",30,70,20,173,3,I/O heavy,200,Hybrid,40
1.2,"22,000",40,1.8,"1,600",90,90,10,142,5,Mixed,427,Hybrid,10
1.4,"31,000",90,1.8,"1,600",120,80,60,200,0,I/O heavy,348,Hybrid,0
1.3,"11,000",40,1.8,"1,500",120,90,20,83,4,Mixed,82,Hybrid,60
1.7,"40,000",90,1.3,"1,300",110,100,20,191,2,Compute-heavy,473,Non-renewable,40
1.6,"31,000",20,1.0,700,30,140,40,195,3,Compute-heavy,475,Renewable-first,40
1.4,"14,000",40,1.7,600,120,140,40,127,4,I/O heavy,92,Non-renewable,30
1.2,"14,000",80,1.3,"2,400",110,120,90,143,5,I/O heavy,96,Hybrid,40
1.4,"15,000",10,1.5,800,30,150,10,117,2,Mixed,104,Renewable-first,40
1.4,"34,000",50,1.7,"2,000",120,140,60,172,1,I/O heavy,462,Non-renewable,80
1.6,"7,000",70,1.5,"1,900",40,130,90,167,2,Compute-heavy,428,Renewable-first,40
1.6,"33,000",20,1.6,"1,900",90,150,70,156,3,I/O heavy,85,Hybrid,10
1.7,"18,000",10,1.2,"1,500",110,140,10,157,1,Compute-heavy,229,Non-renewable,30
1.5,"17,000",100,1.2,"1,400",50,90,30,24,0,Mixed,288,Renewable-first,20
1.3,"23,000",0,1.4,900,40,140,50,71,0,Mixed,134,Non-renewable,0
1.6,"29,000",0,1.5,"2,100",140,140,0,178,5,Compute-heavy,266,Non-renewable,70
1.7,"14,000",100,1.7,"1,900",150,80,10,181,2,Mixed,65,Non-renewable,20
1.5,"19,000",30,1.7,"1,400",120,150,60,120,0,Mixed,63,Non-renewable,0
1.7,"32,000",50,1.8,"1,900",160,80,80,174,5,Compute-heavy,345,Renewable-first,40
1.5,"44,000",60,1.8,"1,500",30,120,40,35,0,I/O heavy,135,Renewable-first,30
1.5,"42,000",70,1.5,"2,100",40,110,30,165,0,Compute-heavy,413,Non-renewable,40
